Name{string},Alternate Spelling{string},Location{string},Type{string},Latitude{decimal},Longitude{decimal},Elevation (m){decimal},Point_Features{point},Reference{string},Comments{string},_the_sort{serial}
"Taunshits",,"Kamchatka","Stratovolcano","54.53","159.8","2353","POINT(159.8 54.53)",,,"1267"
"Taupo",,"New Zealand","Caldera","-38.82","176","760","POINT(176 -38.82)",,,"1268"
"Taveuni",,"Fiji Is-SW Pacific","Shield volcano","-16.82","-179.97","1241","POINT(-179.97 -16.82)",,,"1269"
"Tavui",,"New Britain-SW Pac","Caldera","-4.12","152.2","200","POINT(152.2 -4.12)",,,"1270"
"Teahitia",,"Society Is-C Pacific","Submarine volcano","-17.57","-148.85","-1400","POINT(-148.85 -17.57)",,,"1271"
"Tecapa",,"El Salvador","Stratovolcano","13.49","-88.5","1593","POINT(-88.5 13.49)",,,"1272"
"Tecuamburro",,"Guatemala","Stratovolcano","14.16","-90.41","1845","POINT(-90.41 14.16)",,,"1273"
"Telica",,"Nicaragua","Stratovolcanoes","12.6","-86.85","1061","POINT(-86.85 12.6)",,,"1274"
"Telomoyo",,"Java","Stratovolcano","-7.37","110.4","1894","POINT(110.4 -7.37)",,,"1275"
"Telong, Bur ni",,"Sumatra","Stratovolcano","4.77","96.82","2617","POINT(96.82 4.77)",,,"1276"
"Tengchong",,"SE Asia","Pyroclastic cones","25.23","98.5","2865","POINT(98.5 25.23)",,,"1277"
"Tengger Caldera",,"Java","Stratovolcanoes","-7.94","112.95","2329","POINT(112.95 -7.94)",,,"1278"
"Tenorio",,"Costa Rica","Stratovolcanoes","10.67","-85.02","1916","POINT(-85.02 10.67)",,,"1279"
"Teon",,"Banda Sea","Stratovolcano","-6.92","129.13","655","POINT(129.13 -6.92)",,,"1280"
"Tepi",,"Ethiopia","Shield volcano","7.42","35.43","2728","POINT(35.43 7.42)",,,"1281"
"Terceira",,"Azores","Stratovolcanoes","38.73","-27.32","1023","POINT(-27.32 38.73)",,,"1282"
"Terpuk",,"Kamchatka","Shield volcano","57.2","159.83","765","POINT(159.83 57.2)",,,"1283"
"Theistareykjarbunga",,"Iceland-NE","Shield volcano","65.88","-16.83","564","POINT(-16.83 65.88)",,,"1284"
"Three Fingered Jack",,"US-Oregon","Shield volcano","44.5","-121.8","2390","POINT(-121.8 44.5)",,,"1285"
"Thule Islands",,"Antarctica","Stratovolcanoes","-59.45","-27.37","1075","POINT(-27.37 -59.45)",,,"1286"
"Tiatia",,"Kuril Is","Stratovolcano","44.35","146.26","1819","POINT(146.26 44.35)",,,"1287"
"Ticsani",,"Perú","Lava domes","-16.76","-70.6","5408","POINT(-70.6 -16.76)",,,"1288"
"Tidore",,"Halmahera-Indonesia","Stratovolcano","0.66","127.4","1730","POINT(127.4 0.66)",,,"1289"
"Tigalalu",,"Halmahera-Indonesia","Stratovolcano","0.07","127.42","422","POINT(127.42 0.07)",,,"1290"
"Tigre, El",,"El Salvador","Stratovolcano","13.47","-88.43","1640","POINT(-88.43 13.47)",,,"1291"
"Tigre, Isla el",,"Honduras","Stratovolcano","13.27","-87.64","783","POINT(-87.64 13.27)",,,"1292"
"Tilocalar",,"Chile-N","Stratovolcanoes","-23.97","-68.13","3116","POINT(-68.13 -23.97)",,,"1293"
"Tinakula",,"Santa Cruz Is-SW Pacific","Stratovolcano","-10.38","165.8","851","POINT(165.8 -10.38)",,,"1294"
"Tindfjallajökull",,"Iceland-S","Stratovolcano","63.78","-19.57","1463","POINT(-19.57 63.78)",,,"1295"
"Tinguiririca",,"Chile-C","Stratovolcano","-34.81","-70.35","4280","POINT(-70.35 -34.81)",,,"1296"
"Tipas",,"Argentina","Complex volcano","-27.2","-68.55","6660","POINT(-68.55 -27.2)",,,"1297"
"Titila",,"Kamchatka","Shield volcanoes","57.4","160.1","1559","POINT(160.1 57.4)",,,"1298"
"Tlevak Strait-Suemez Is.",,"Alaska-E","Volcanic field","55.25","-133.3","50","POINT(-133.3 55.25)",,,"1299"
"Toba",,"Sumatra","Caldera","2.58","98.83","2157","POINT(98.83 2.58)",,,"1300"
"Tobaru",,"Halmahera-Indonesia","Unknown","1.63","127.67","1035","POINT(127.67 1.63)",,,"1301"
"Todoko-Ranu",,"Halmahera-Indonesia","Calderas","1.25","127.47","979","POINT(127.47 1.25)",,,"1302"
"Todra Volc Field",,"Africa-N","Cinder cones","17.68","8.5","1780","POINT(8.5 17.68)",,,"1303"
"Tofua",,"Tonga-SW Pacific","Caldera","-19.75","-175.07","515","POINT(-175.07 -19.75)",,,"1304"
"Tôh, Tarso",,"Africa-N","Volcanic field","21.33","16.33","2000","POINT(16.33 21.33)",,,"1305"
"Tokachi",,"Hokkaido-Japan","Stratovolcanoes","43.42","142.69","2077","POINT(142.69 43.42)",,,"1306"
"Tolbachik",,"Kamchatka","Shield volcano","55.83","160.33","3682","POINT(160.33 55.83)",,,"1307"
"Tolguaca",,"Chile-C","Stratovolcano","-38.31","-71.65","2806","POINT(-71.65 -38.31)",,,"1308"
