Name{string},Alternate Spelling{string},Location{string},Type{string},Latitude{decimal},Longitude{decimal},Elevation (m){decimal},Point_Features{point},Reference{string},Comments{string},_the_sort{serial}
"Vernadskii Ridge",,"Kuril Is","Cinder cones","50.55","155.97","1183","POINT(155.97 50.55)",,,"1440"
"Vestmannaeyjar",,"Iceland-S","Submarine volcanoes","63.43","-20.28","279","POINT(-20.28 63.43)",,,"1441"
"Vesuvius",,"Italy","Somma volcano","40.82","14.43","1281","POINT(14.43 40.82)",,,"1442"
"Victory",,"New Guinea","Stratovolcano","-9.2","149.07","1925","POINT(149.07 -9.2)",,,"1443"
"Viedma",,"Argentina","Subglacial volcano","-49.36","-73.28","1500","POINT(-73.28 -49.36)",,,"1444"
"Villarrica",,"Chile-C","Stratovolcano","-39.42","-71.93","2847","POINT(-71.93 -39.42)",,,"1445"
"Vilyuchik",,"Kamchatka","Stratovolcano","52.7","158.28","2173","POINT(158.28 52.7)",,,"1446"
"Visoke",,"Africa-C","Stratovolcano","-1.47","29.49","3711","POINT(29.49 -1.47)",,,"1447"
"Visokiy",,"Kamchatka","Stratovolcano","52.43","157.93","1234","POINT(157.93 52.43)",,,"1448"
"Vitim Plateau",,"Russia-SE","Cinder cones","53.7","113.3","1250","POINT(113.3 53.7)",,,"1449"
"Volcano W",,"Kermadec Is","Submarine volcanoes","-31.85","-179.18","-900","POINT(-179.18 -31.85)",,,"1450"
"Voon, Tarso",,"Africa-N","Stratovolcano","20.92","17.28","3100","POINT(17.28 20.92)",,,"1451"
"Voyampolsky",,"Kamchatka","Shield volcanoes","58.37","160.62","1225","POINT(160.62 58.37)",,,"1452"
"Vsevidof",,"Aleutian Is","Stratovolcano","53.13","-168.69","2149","POINT(-168.69 53.13)",,,"1453"
"Vulcano",,"Italy","Stratovolcanoes","38.4","14.96","500","POINT(14.96 38.4)",,,"1454"
"Vulsini",,"Italy","Caldera","42.6","11.93","800","POINT(11.93 42.6)",,,"1455"
"Vysoky",,"Kamchatka","Stratovolcano","55.07","160.77","2161","POINT(160.77 55.07)",,,"1456"
"Waesche",,"Antarctica","Shield volcano","-77.17","-126.88","3292","POINT(-126.88 -77.17)",,,"1457"
"Waiowa",,"New Guinea","Pyroclastic cone","-9.57","149.08","640","POINT(149.08 -9.57)",,,"1458"
"Wallis Islands",,"SW Pacific","Shield volcano","-13.3","-176.17","143","POINT(-176.17 -13.3)",,,"1459"
"Wapi Lava Field",,"US-Idaho","Shield volcano","42.88","-113.22","1604","POINT(-113.22 42.88)",,,"1460"
"Washiba-Kumonotaira",,"Honshu-Japan","Shield volcano","36.41","137.59","2924","POINT(137.59 36.41)",,,"1461"
"Washington, Mount",,"US-Oregon","Shield volcano","44.3","-121.8","2376","POINT(-121.8 44.3)",,,"1462"
"Watt, Morne",,"W Indies","Stratovolcanoes","15.31","-61.31","1224","POINT(-61.31 15.31)",,,"1463"
"Wau-en-Namus",,"Africa-N","Caldera","25.05","17.55","547","POINT(17.55 25.05)",,,"1464"
"Wayang-Windu",,"Java","Lava dome","-7.21","107.63","2182","POINT(107.63 -7.21)",,,"1465"
"Wells Gray-Clearwater",,"Canada","Cinder cones","52.33","-120.57","2015","POINT(-120.57 52.33)",,,"1466"
"West Crater",,"US-Washington","Volcanic field","45.88","-122.08","1329","POINT(-122.08 45.88)",,,"1467"
"West Eifel Volc Field",,"Germany","Maars","50.17","6.85","600","POINT(6.85 50.17)",,,"1468"
"Westdahl",,"Aleutian Is","Stratovolcano ?","54.52","-164.65","1654","POINT(-164.65 54.52)",,,"1469"
"Whangarei",,"New Zealand","Cinder cones","-35.75","174.27","397","POINT(174.27 -35.75)",,,"1470"
"White Island",,"New Zealand","Stratovolcanoes","-37.52","177.18","321","POINT(177.18 -37.52)",,,"1471"
"Wilis",,"Java","Stratovolcano","-7.81","111.76","2563","POINT(111.76 -7.81)",,,"1472"
"Wolf",,"Galápagos","Shield volcano","0.02","-91.35","1710","POINT(-91.35 0.02)",,,"1473"
"Wrangell",,"Alaska-E","Shield volcano","62","-144.02","4317","POINT(-144.02 62)",,,"1474"
"Wudalianchi",,"China-E","Volcanic field","48.72","126.12","597","POINT(126.12 48.72)",,,"1475"
"Wurlali",,"Banda Sea","Stratovolcano","-7.13","128.68","868","POINT(128.68 -7.13)",,,"1476"
"Yake-dake",,"Honshu-Japan","Stratovolcano","36.22","137.59","2455","POINT(137.59 36.22)",,,"1477"
"Yali",,"Greece","Lava domes","36.67","27.14","180","POINT(27.14 36.67)",,,"1478"
"Yangudi",,"Ethiopia","Complex volcano","10.58","41.04","1383","POINT(41.04 10.58)",,,"1479"
"Yantarni",,"Alaska Peninsula","Stratovolcano","57.02","-157.19","1345","POINT(-157.19 57.02)",,,"1480"
"Yanteles",,"Chile-S","Stratovolcanoes","-43.5","-72.8","2042","POINT(-72.8 -43.5)",,,"1481"
"Yar, Jabal",,"Arabia-W","Volcanic field","17.05","42.83","305","POINT(42.83 17.05)",,,"1482"
"Yasur",,"Vanuatu-SW Pacific","Stratovolcano","-19.53","169.44","361","POINT(169.44 -19.53)",,,"1483"
"Yate",,"Chile-S","Stratovolcano","-41.76","-72.4","2187","POINT(-72.4 -41.76)",,,"1484"
"Yeguada, La",,"Panamá","Stratovolcano","8.47","-80.82","1297","POINT(-80.82 8.47)",,,"1485"
"Yelia",,"New Guinea","Stratovolcano","-7.05","145.86","3384","POINT(145.86 -7.05)",,,"1486"
"Yellowstone",,"US-Wyoming","Calderas","44.43","-110.67","2805","POINT(-110.67 44.43)",,,"1487"
"Yersey",,"Lesser Sunda Is","Submarine volcano ?","-7.53","123.95","-3800","POINT(123.95 -7.53)",,,"1488"
"Yojoa, Lake",,"Honduras","Volcanic field","14.98","-87.98","1090","POINT(-87.98 14.98)",,,"1489"
"Yokoate-jima",,"Ryukyu Is","Stratovolcanoes","28.8","129","495","POINT(129 28.8)",,,"1490"
"Yotei",,"Hokkaido-Japan","Stratovolcano","42.83","140.82","1898","POINT(140.82 42.83)",,,"1491"
"Young Island",,"Antarctica","Stratovolcano","-66.42","162.47","1340","POINT(162.47 -66.42)",,,"1492"
"Yucamane",,"Perú","Stratovolcanoes","-17.18","-70.2","5550","POINT(-70.2 -17.18)",,,"1493"
"Yunaska",,"Aleutian Is","Shield volcano","52.64","-170.63","550","POINT(-170.63 52.64)",,,"1494"
"Zacate Grande, Isla",,"Honduras","Stratovolcano","13.33","-87.63","640","POINT(-87.63 13.33)",,,"1495"
"Zao",,"Honshu-Japan","Complex volcano","38.14","140.44","1841","POINT(140.44 38.14)",,,"1496"
"Zaozerny",,"Kamchatka","Shield volcanoes","56.88","159.95","1349","POINT(159.95 56.88)",,,"1497"
"Zapatera",,"Nicaragua","Shield volcano","11.73","-85.82","629","POINT(-85.82 11.73)",,,"1498"
"Zavaritsky",,"Kamchatka","Cinder cones","53.91","158.39","1567","POINT(158.39 53.91)",,,"1499"
"Zavaritzki Caldera",,"Kuril Is","Caldera","46.93","151.95","624","POINT(151.95 46.93)",,,"1500"
"Zavodovski",,"Antarctica","Stratovolcano","-56.3","-27.57","551","POINT(-27.57 -56.3)",,,"1501"
"Zealandia Bank",,"Mariana Is-C Pacific","Stratovolcano","16.88","145.85","0","POINT(145.85 16.88)",,,"1502"
"Zengyu",,"Taiwan-N of","Submarine volcano","26.18","122.46","-418","POINT(122.46 26.18)",,,"1503"
"Zheltovsky",,"Kamchatka","Stratovolcano","51.57","157.32","1953","POINT(157.32 51.57)",,,"1504"
"Zhupanovsky",,"Kamchatka","Compound volcano","53.59","159.15","2958","POINT(159.15 53.59)",,,"1505"
"Zimina",,"Kamchatka","Stratovolcanoes","55.86","160.6","3081","POINT(160.6 55.86)",,,"1506"
"Zitácuaro-Valle de Bravo",,"México","Caldera","19.4","-100.25","3500","POINT(-100.25 19.4)",,,"1507"
"Zubair, Jebel",,"Red Sea","Shield volcano","15.05","42.18","191","POINT(42.18 15.05)",,,"1508"
"Zukur",,"Red Sea","Shield volcano","14.02","42.75","624","POINT(42.75 14.02)",,,"1509"
"Zuni-Bandera",,"US-New Mexico","Volcanic field","34.8","-108","2550","POINT(-108 34.8)",,,"1510"
